area,cluster,cluster_name,keyword,x,y,count,color
ar\vr,0,Кластер 0,written conflict fabulous,2.991167386692041,7.106798807182176,1443,#8c564b
ar\vr,0,Кластер 0,reservations linking,10.195602423153172,12.259495712252914,751,#8c564b
ar\vr,0,Кластер 0,interfaces neutral,10.443533250200693,13.809914970161072,586,#8c564b
ar\vr,0,Кластер 0,committees parallel,6.735259814980754,3.613982972088637,173,#8c564b
ar\vr,1,Кластер 1,postcards looked republic detector,10.474474222223218,6.220011967033064,1397,#9467bd
ar\vr,1,Кластер 1,michael tobacco,6.21087987032822,12.721263957780875,1007,#9467bd
ar\vr,1,Кластер 1,filling volunteers academics,10.83391995827724,8.652736658281233,773,#9467bd
ar\vr,1,Кластер 1,celtic automation,12.197275202219137,4.723751417014398,715,#9467bd
ar\vr,2,Кластер 2,enquiries implementation,3.5807179798861632,8.089951461567338,1249,#7f7f7f
ar\vr,2,Кластер 2,previously standing languages commands,14.668088782019147,8.467136440992878,889,#7f7f7f
ar\vr,2,Кластер 2,bangkok mining fascinating,5.084247153929448,13.480030560991166,682,#7f7f7f
ar\vr,3,Кластер 3,announces independent,0.3819861215457754,7.675411781516552,1669,#bcbd22
ar\vr,3,Кластер 3,reload athletics,6.020944311198539,4.355278024864925,1189,#bcbd22
ar\vr,3,Кластер 3,several animated,11.451222272176462,6.641685483781745,260,#bcbd22
available,0,Кластер 0,containers raises,11.553724046234848,14.838972733370907,1901,#d62728
available,0,Кластер 0,engage gazette,13.577055720514515,14.56834807581583,1694,#d62728
available,0,Кластер 0,michael tobacco oriented,2.5345406683668465,7.201312159374234,1433,#d62728
available,0,Кластер 0,mobiles sensor,14.91661915530759,5.807535729499952,426,#d62728
available,1,Кластер 1,signed reception,9.560871377586924,6.234035288942436,1793,#e377c2
available,1,Кластер 1,collectables departments,11.166086848701768,12.985122559024818,1247,#e377c2
available,1,Кластер 1,correctly washing trauma,0.8546094748233873,2.854567085821392,910,#e377c2
available,1,Кластер 1,minerals reception,5.198257488228374,14.817618017689076,907,#e377c2
available,2,Кластер 2,copyright crossword,3.542366816013352,10.48899638751125,1404,#9467bd
available,2,Кластер 2,announces independent coaching travelers,8.701704539276447,12.305153970991968,1041,#9467bd
available,2,Кластер 2,optimal artificial orders complicated,13.203286304999212,14.374205517890555,1037,#9467bd
available,2,Кластер 2,disposition layout,0.9908708935514388,6.513206893783746,454,#9467bd
available,3,Кластер 3,logging suggested,13.843937050502952,9.688188173044628,1749,#7f7f7f
available,3,Кластер 3,offset cnetcom applying,9.557026726459265,3.4572979889185995,649,#7f7f7f
available,3,Кластер 3,exports closing supported,11.399484980573028,4.206470020157055,401,#7f7f7f
capability,0,Кластер 0,amended mailed analyzed,3.3625394484922424,7.862178589057771,1184,#ff7f0e
capability,0,Кластер 0,tunnel lyrics,14.182495753536584,11.241094130877396,1013,#ff7f0e
capability,0,Кластер 0,bouquet beyond indian,9.681401994089915,4.886067287286476,203,#ff7f0e
capability,0,Кластер 0,postcards looked,8.760002088812167,5.090565770201748,114,#ff7f0e
capability,1,Кластер 1,filter substances,2.4327938686529222,4.840058228742469,1532,#1f77b4
capability,1,Кластер 1,interfaces neutral,0.1341074960113791,12.515576283697598,1047,#1f77b4
capability,1,Кластер 1,finishing vanilla,1.024451205622567,7.379040121335525,683,#1f77b4
capability,1,Кластер 1,thomson veterans,2.4456493169339977,6.577019046472794,563,#1f77b4
capability,2,Кластер 2,transmitted australian,5.655112351423575,5.853697603739591,1986,#8c564b
